valid, idx, real
0,           0,      0
0,           1,      0
0,           2,      0
0,           3,      0
0,           4,      0
0,           5,      0
0,           6,      0
0,           7,      0
0,           8,      0
0,           9,      0
0,          10,      0
0,          11,      0
0,          12,      0
0,          13,      0
0,          14,      0
0,          15,      0
0,           0,      0
0,           1,      0
0,           2,      0
0,           3,      0
0,           4,      0
0,           5,      0
0,           6,      0
0,           7,      0
0,           8,      0
0,           9,      0
0,          10,      0
0,          11,      0
0,          12,      0
0,          13,      0
0,          14,      0
0,          15,      0
0,           0,      0
0,           1,      0
0,           2,      0
0,           3,      0
0,           4,      0
0,           5,      0
0,           6,      0
0,           7,      0
0,           8,      0
0,           9,      0
0,          10,      0
0,          11,      0
0,          12,      0
0,          13,      0
0,          14,      0
0,          15,      0
0,           0,      0
0,           1,      0
0,           2,      0
0,           3,      0
0,           4,      0
0,           5,      0
0,           6,      0
0,           7,      0
0,           8,      0
0,           9,      0
0,          10,      0
0,          11,      0
0,          12,      0
0,          13,      0
0,          14,      0
0,          15,      0
0,           0,      0
0,           1,      0
0,           2,      0
0,           3,      0
0,           4,      0
0,           5,      0
0,           6,      0
0,           7,      0
0,           8,      0
0,           9,      0
0,          10,      0
0,          11,      0
0,          12,      0
0,          13,      0
0,          14,      0
0,          15,      0
0,           0,      0
0,           1,      0
0,           2,      0
0,           3,      0
0,           4,      0
0,           5,      0
0,           6,      0
0,           7,      0
0,           8,      0
0,           9,      0
0,          10,      0
0,          11,      0
0,          12,      0
0,          13,      0
0,          14,      0
0,          15,      0
0,           0,      0
0,           1,      0
0,           2,      0
0,           3,      0
0,           4,      0
0,           5,      0
0,           6,      0
0,           7,      0
0,           8,      0
0,           9,      0
0,          10,      0
0,          11,      0
0,          12,      0
0,          13,      0
0,          14,      0
0,          15,      0
0,           0,      0
0,           1,      0
0,           2,      0
0,           3,      0
0,           4,      0
0,           5,      0
0,           6,      0
0,           7,      0
0,           8,      0
0,           9,      0
0,          10,      0
0,          11,      0
0,          12,      0
0,          13,      0
0,          14,      0
0,          15,      0
0,           0,      0
0,           1,      0
0,           2,      0
0,           3,      0
0,           4,      0
0,           5,      0
0,           6,      0
0,           7,      0
0,           8,      0
0,           9,      0
0,          10,      0
0,          11,      0
0,          12,      0
0,          13,      0
0,          14,      0
0,          15,      0
0,           0,      0
0,           1,      0
0,           2,      0
0,           3,      0
0,           4,      0
0,           5,      0
0,           6,      0
0,           7,      0
0,           8,      0
0,           9,      0
0,          10,      0
0,          11,      0
0,          12,      0
0,          13,      0
0,          14,      0
0,          15,      0
1,           0,     -3
1,           1,     60
1,           2,    118
1,           3,    175
1,           4,    233
1,           5,    296
1,           6,    353
1,           7,    411
1,           8,    468
1,           9,    531
1,          10,    589
1,          11,    646
1,          12,    704
1,          13,    761
1,          14,    824
1,          15,    882
1,           0,      2
1,           1,     60
1,           2,    123
1,           3,    181
1,           4,    238
1,           5,    296
1,           6,    359
1,           7,    417
1,           8,    474
1,           9,    531
1,          10,    595
1,          11,    652
1,          12,    709
1,          13,    767
1,          14,    824
1,          15,    888
1,           0,     -3
1,           1,     54
1,           2,    112
1,           3,    175
1,           4,    233
1,           5,    290
1,           6,    347
1,           7,    411
1,           8,    468
1,           9,    526
1,          10,    583
1,          11,    641
1,          12,    704
1,          13,    761
1,          14,    819
1,          15,    876
1,           0,      2
1,           1,     66
1,           2,    123
1,           3,    181
1,           4,    238
1,           5,    302
1,           6,    359
1,           7,    417
1,           8,    474
1,           9,    537
1,          10,    595
1,          11,    652
1,          12,    709
1,          13,    773
1,          14,    830
1,          15,    888
1,           0,      2
1,           1,     66
1,           2,    123
1,           3,    181
1,           4,    238
1,           5,    296
1,           6,    359
1,           7,    417
1,           8,    474
1,           9,    531
1,          10,    595
1,          11,    652
1,          12,    709
1,          13,    767
1,          14,    830
1,          15,    888
1,           0,    945
1,           1,   1002
1,           2,   1060
1,           3,   1117
1,           4,   1181
1,           5,   1238
1,           6,   1295
1,           7,   1352
1,           8,   1415
1,           9,   1473
1,          10,   1530
1,          11,   1587
1,          12,   1650
1,          13,   1707
1,          14,   1764
1,          15,   1821
1,           0,    945
1,           1,    888
1,           2,    824
1,           3,    767
1,           4,    709
1,           5,    652
1,           6,    589
1,           7,    531
1,           8,    474
1,           9,    417
1,          10,    353
1,          11,    296
1,          12,    238
1,          13,    181
1,          14,    118
1,          15,     60
1,           0,     -3
1,           1,    -61
1,           2,   -124
1,           3,   -182
1,           4,   -239
1,           5,   -297
1,           6,   -360
1,           7,   -418
1,           8,   -475
1,           9,   -532
1,          10,   -590
1,          11,   -653
1,          12,   -710
1,          13,   -768
1,          14,   -825
1,          15,   -889
1,           0,   -940
1,           1,   -998
1,           2,  -1055
1,           3,  -1118
1,           4,  -1176
1,           5,  -1233
1,           6,  -1290
1,           7,  -1353
1,           8,  -1410
1,           9,  -1468
1,          10,  -1525
1,          11,  -1588
1,          12,  -1645
1,          13,  -1702
1,          14,  -1759
1,          15,  -1816
1,           0,  -1879
1,           1,  -1936
1,           2,  -1999
1,           3,  -2056
1,           4,  -2113
1,           5,  -2170
1,           6,  -2233
1,           7,  -2289
1,           8,  -2346
1,           9,  -2403
1,          10,  -2466
1,          11,  -2522
1,          12,  -2579
1,          13,  -2635
1,          14,  -2698
1,          15,  -2754
1,           0,  -2817
1,           1,  -2873
1,           2,  -2929
1,           3,  -2986
1,           4,  -3048
1,           5,  -3104
1,           6,  -3160
1,           7,  -3217
1,           8,  -3279
1,           9,  -3334
1,          10,  -3391
1,          11,  -3447
1,          12,  -3508
1,          13,  -3564
1,          14,  -3620
1,          15,  -3676
1,           0,  -3731
1,           1,  -3787
1,           2,  -3848
1,           3,  -3904
1,           4,  -3959
1,           5,  -4015
1,           6,  -4076
1,           7,  -4131
1,           8,  -4186
1,           9,  -4242
1,          10,  -4302
1,          11,  -4357
1,          12,  -4412
1,          13,  -4467
1,          14,  -4522
1,          15,  -4582
1,           0,  -4632
1,           1,  -4686
1,           2,  -4747
1,           3,  -4801
1,           4,  -4856
1,           5,  -4910
1,           6,  -4970
1,           7,  -5024
1,           8,  -5078
1,           9,  -5132
1,          10,  -5192
1,          11,  -5245
1,          12,  -5299
1,          13,  -5353
1,          14,  -5412
1,          15,  -5466
1,           0,  -5524
1,           1,  -5578
1,           2,  -5631
1,           3,  -5685
1,           4,  -5743
1,           5,  -5796
1,           6,  -5849
1,           7,  -5902
1,           8,  -5955
1,           9,  -6013
1,          10,  -6065
1,          11,  -6118
1,          12,  -6171
1,          13,  -6228
1,          14,  -6281
1,          15,  -6333
1,           0,  -6390
1,           1,  -6442
1,           2,  -6494
1,           3,  -6551
1,           4,  -6602
1,           5,  -6654
1,           6,  -6706
1,           7,  -6762
1,           8,  -6813
1,           9,  -6865
1,          10,  -6916
1,          11,  -6967
1,          12,  -7023
1,          13,  -7073
1,          14,  -7124
1,          15,  -7175
1,           0,  -7225
1,           1,  -7276
1,           2,  -7326
1,           3,  -7381
1,           4,  -7431
1,           5,  -7481
1,           6,  -7531
1,           7,  -7581
1,           8,  -7635
1,           9,  -7685
1,          10,  -7734
1,          11,  -7783
1,          12,  -7837
1,          13,  -7886
1,          14,  -7935
1,          15,  -7983
1,           0,  -8037
1,           1,  -8091
1,           2,  -8139
1,           3,  -8187
1,           4,  -8235
1,           5,  -8288
1,           6,  -8336
1,           7,  -8384
1,           8,  -8431
1,           9,  -8484
1,          10,  -8531
1,          11,  -8578
